,indx,serie_id,Name,Type,Language,AvgRunTime,Country
1,1,41648,Sim for You,Reality,Korean,16.0,"Korea, Republic of"
2,2,52198,Котики,Scripted,Russian,12.0,Russian Federation
3,3,52933,LAB с Антоном Беляевым,Documentary,Russian,25.0,Russian Federation
4,4,51336,Core Sense,Animation,Chinese,24.0,China
5,5,54033,Wu Shen Zhu Zai,Animation,Chinese,8.0,China
6,6,61674,Sono koi Mousukoshi Atatamemasuka,Scripted,Japanese,15.0,Japan
7,7,63967,Run BTS!,Variety,Korean,,"Korea, Republic of"
8,8,52038,"Please Wait, Brother",Scripted,Chinese,37.0,China
9,9,52038,"Please Wait, Brother",Scripted,Chinese,37.0,China
10,10,52373,Fearless Whispers,Scripted,Chinese,60.0,
11,11,55016,Ling Jian Zun,Animation,Chinese,10.0,China
12,12,57339,Mafia Nights,Reality,Persian,90.0,"Iran, Islamic Republic of"
13,13,47027,вМесте. Интервью,Talk Show,Russian,26.0,Russian Federation
14,14,50752,Stjernestøv,Scripted,Norwegian,20.0,Norway
15,15,51893,Exit Nordpolen,Documentary,Norwegian,36.0,Norway
16,16,51893,Exit Nordpolen,Documentary,Norwegian,36.0,Norway
17,17,51893,Exit Nordpolen,Documentary,Norwegian,36.0,Norway
18,18,26268,Слепая,Scripted,Russian,25.0,Russian Federation
19,19,51436,I'm a Celebrity...The Daily Drop,Variety,English,30.0,United Kingdom
20,20,53198,SHEKER,Scripted,Russian,22.0,Kazakhstan
21,21,51111,Saygı,Scripted,Turkish,60.0,Turkey
22,22,52984,Konuşanlar,Talk Show,Turkish,50.0,Turkey
23,23,49864,Alex og Aune,Reality,Norwegian,12.0,Norway
24,24,51896,Blipp vs. Snøløs,Reality,Norwegian,14.0,Norway
25,25,13381,Honest Game Trailers,Variety,English,5.0,
26,26,13392,Honest Trailers,Scripted,English,6.0,
27,27,15250,The Young Turks,News,English,120.0,
28,28,21491,Kurzgesagt – In a Nutshell,Documentary,English,6.0,
29,29,30606,SciShow,Documentary,English,9.0,
30,30,32980,Returning the Favor,Documentary,English,28.0,
31,31,40482,10 глупых вопросов,Talk Show,Russian,25.0,
32,32,41611,Good Mythical Morning,Talk Show,English,14.0,
33,33,42121,Red Table Talk,Talk Show,English,25.0,
34,34,43261,Родители,Scripted,Russian,25.0,Russian Federation
35,35,45389,Obsolete,Animation,Japanese,13.0,
36,36,45389,Obsolete,Animation,Japanese,13.0,
37,37,45389,Obsolete,Animation,Japanese,13.0,
38,38,45389,Obsolete,Animation,Japanese,13.0,
39,39,45389,Obsolete,Animation,Japanese,13.0,
40,40,45389,Obsolete,Animation,Japanese,13.0,
41,41,45400,Comment Out,Variety,Russian,47.0,
42,42,47267,La Vida Moderna,Talk Show,Spanish,38.0,
43,43,47944,Inside of You with Michael Rosenbaum,Talk Show,English,86.0,
44,44,48302,All Elite Wrestling: Dark,Sports,English,,
45,45,49626,Marvel's Storyboards,Documentary,English,14.0,
46,46,50433,UWN Primetime,Sports,English,120.0,
47,47,50741,Lyckoviken,Scripted,Swedish,42.0,
48,48,51119,Ela Ana,Scripted,Arabic,39.0,Egypt
49,49,51870,Something Just Like This,Scripted,Chinese,45.0,
50,50,51870,Something Just Like This,Scripted,Chinese,45.0,
51,51,52073,Oriental Casablanca,Scripted,Chinese,45.0,
52,52,52104,Twisted Fate of Love,Scripted,Chinese,45.0,China
53,53,52104,Twisted Fate of Love,Scripted,Chinese,45.0,China
54,54,52106,Insect Detective,Scripted,Chinese,45.0,China
55,55,52106,Insect Detective,Scripted,Chinese,45.0,China
56,56,52107,New Face,Scripted,Chinese,45.0,China
57,57,52107,New Face,Scripted,Chinese,45.0,China
58,58,52108,Psych Hunter,Scripted,Chinese,45.0,
59,59,52108,Psych Hunter,Scripted,Chinese,45.0,
60,60,52113,Maryland Farm & Harvest,Documentary,English,27.0,United States
61,61,52150,Cheat,Scripted,Tagalog,26.0,
62,62,52159,To Love,Scripted,Chinese,45.0,China
63,63,52159,To Love,Scripted,Chinese,45.0,China
64,64,52164,The Holiday Movies That Made Us,Documentary,English,45.0,
65,65,52164,The Holiday Movies That Made Us,Documentary,English,45.0,
66,66,52191,Wayward Guide,Scripted,English,11.0,
67,67,52534,NWA Shockwave,Sports,English,45.0,
68,68,53282,33 Ребёнка,Scripted,Russian,13.0,
69,69,53282,33 Ребёнка,Scripted,Russian,13.0,
70,70,53282,33 Ребёнка,Scripted,Russian,13.0,
71,71,53282,33 Ребёнка,Scripted,Russian,13.0,
72,72,53282,33 Ребёнка,Scripted,Russian,13.0,
73,73,53282,33 Ребёнка,Scripted,Russian,13.0,
74,74,53282,33 Ребёнка,Scripted,Russian,13.0,
75,75,53282,33 Ребёнка,Scripted,Russian,13.0,
76,76,53282,33 Ребёнка,Scripted,Russian,13.0,
77,77,53282,33 Ребёнка,Scripted,Russian,13.0,
78,78,53282,33 Ребёнка,Scripted,Russian,13.0,
79,79,53282,33 Ребёнка,Scripted,Russian,13.0,
80,80,53338,El Anesa Farah,Scripted,Arabic,40.0,
